Row,Ast,End,Ex,In,Mic,Oli,Opc,Per
TCF24,0.0118983234180638,0,0.028207171314741,0.0139574833583852,0.00488758553274682,0.00720338983050847,0.0303501945525292,0.0105263157894737
PPP1R42,0.0762574364521363,0.0273972602739726,0.069800796812749,0.0358599957053897,0.00195503421309873,0.0076271186440678,0.0163424124513619,0
COPS5,0.00811249323958897,0.0136986301369863,0.0230544488711819,0.0139574833583852,0.00684261974584555,0.00614406779661017,0.0101167315175097,0
CSPP1,0.255273120605733,0.10958904109589,0.638725099601594,0.437191324887266,0.0645161290322581,0.133050847457627,0.315175097276265,0.168421052631579
ARFGEF1,0.226608977825852,0.26027397260274,0.62199203187251,0.468971440841744,0.202346041055718,0.127648305084746,0.371206225680934,0.221052631578947
CPA6,0.0292049756625203,0.0136986301369863,0.0270916334661355,0.0128838307923556,0.0791788856304985,0.00572033898305085,0.022568093385214,0
PREX2,1.4007571660357,0.328767123287671,0.021726427622842,0.214945243719132,0.00293255131964809,0.112923728813559,0.515175097276265,0.178947368421053
C8orf34,0.07355327203894,0.767123287671233,0.295830013280212,0.830148164054112,0.010752688172043,0.0354872881355932,0.101945525291829,0.0315789473684211
SULF1,0.0259599783666847,0.26027397260274,0.0468525896414343,0.281941163839382,0.00391006842619746,0.00201271186440678,0.00778210116731518,0.0421052631578947
SLCO5A1,0.00811249323958897,0.0136986301369863,0.0418061088977424,0.100064419153962,0.00195503421309873,0.00423728813559322,0.0809338521400778,0.0105263157894737
PRDM14,0.00162249864791779,0,0.00318725099601594,0.000858922052823706,0.000977517106549365,0.000423728813559322,0.0046692607003891,0
NCOA2,0.549486208761493,0.36986301369863,0.716494023904382,1.05110586214301,0.320625610948192,0.228283898305085,0.801556420233463,0.536842105263158
TRAM1,0.0805840995132504,0.0684931506849315,0.194050464807437,0.11123040584067,0.0635386119257087,0.0609110169491525,0.100389105058366,0.0842105263157895
LACTB2,0.0194699837750135,0.0821917808219178,0.0656042496679947,0.046811251878892,0.0293255131964809,0.0229872881355932,0.0186770428015564,0.0315789473684211
XKR9,0.0243374797187669,0.0547945205479452,0.151819389110226,0.0386514923770668,0.00879765395894428,0.0169491525423729,0.0163424124513619,0.0315789473684211
EYA1,0.30881557598702,0.246575342465753,0.00685258964143426,0.0579772385656002,0.000977517106549365,0.0013771186440678,0.00311284046692607,0.326315789473684
MSC,0,0,0.0167330677290837,0.000429461026411853,0,0,0,0
TRPA1,0,0,0.00164674634794157,0.00429461026411853,0,0.000105932203389831,0,0
KCNB2,0.0151433207138994,0,1.65965471447543,0.539188318660082,0.00586510263929619,0.0119703389830508,0.0544747081712062,0.0210526315789474
TERF1,0.133044889129259,0.0958904109589041,0.485949535192563,0.305346789778828,0.0478983382209189,0.101483050847458,0.214007782101167,0.0736842105263158
SBSPON,0.00108166576527853,0,0.00648074369189907,0.00279149667167705,0.000977517106549365,0.00116525423728814,0.00233463035019455,0.0105263157894737
C8orf89,0.000540832882639265,0,0.00169986719787517,0.00193257461885334,0,0.000529661016949153,0.00233463035019455,0
RPL7,0.136289886425095,0.767123287671233,0.777901726427623,0.463173716985184,0.13782991202346,0.150635593220339,0.175097276264591,0.242105263157895
RDH10,0.018388318009735,0.0136986301369863,0.00563081009296149,0.00236203564526519,0.000977517106549365,0.00264830508474576,0.0116731517509728,0.0210526315789474
STAU2,0.223363980530016,0.205479452054795,0.922284196547145,0.622074296757569,0.100684261974585,0.0867584745762712,0.259143968871595,0.136842105263158
RP11-463D19.2,0.00162249864791779,0,0.0220451527224436,0.0165342495168563,0.00488758553274682,0.00307203389830508,0.00622568093385214,0.0105263157894737
UBE2W,0,0,5.31208499335989e-05,0,0,0,0,0
TCEB1,0.0692266089778259,0.10958904109589,0.440159362549801,0.214945243719132,0.021505376344086,0.0455508474576271,0.0801556420233463,0.0315789473684211
TMEM70,0.0189291508923743,0.0136986301369863,0.216945551128818,0.0893278934936654,0.010752688172043,0.0103813559322034,0.0147859922178988,0
LY96,0.00216333153055706,0.0410958904109589,0.0175830013280212,0.0212583208073867,0.0762463343108504,0.00190677966101695,0.000778210116731518,0.0105263157894737
JPH1,0.0124391563007031,0.0273972602739726,0.359150066401062,0.136353875885763,0.00586510263929619,0.00614406779661017,0.021011673151751,0
GDAP1,0.244997295835587,0.0410958904109589,1.51633466135458,0.774318230620571,0.050830889540567,0.184957627118644,0.743190661478599,0.0736842105263158
PI15,0.00216333153055706,0,0.019070385126162,0.00622718488297187,0,0.000423728813559322,0.00544747081712062,0
CRISPLD1,0.0400216333153056,0.0273972602739726,0.0743160690571049,0.0390809534034786,0,0.000953389830508475,0.15875486381323,0.0526315789473684
HNF4G,0.104921579232017,0,0.0128552456839309,0.00858922052823706,0.00195503421309873,0.00317796610169492,0.103501945525292,0
ZFHX4,0.660897782585181,0.0684931506849315,0.0308100929614874,0.049602748550569,0.00293255131964809,0.234216101694915,0.592996108949416,0.105263157894737
PEX2,0.0897782585181179,0.0273972602739726,0.070332005312085,0.064419153961778,0.021505376344086,0.0455508474576271,0.0949416342412451,0.0526315789473684
PKIA,0.329367225527312,0.0136986301369863,0.665444887118194,0.298260682843032,0.0117302052785924,0.0207627118644068,0.214007782101167,0
ZC2HC1A,0.245538128718226,0.0273972602739726,0.533492695883134,0.258750268413142,0.0293255131964809,0.0463983050847458,0.282490272373541,0.0631578947368421
IL7,0.0324499729583559,0.0273972602739726,0.0513147410358566,0.0249087395318875,0.0136852394916911,0.00444915254237288,0.0412451361867704,0.0105263157894737
STMN2,0.0562466197944835,0.0136986301369863,2.44674634794157,1.13120034356882,0.0283479960899316,0.03125,0.045136186770428,0.0315789473684211
HEY1,0.0173066522444565,0.0684931506849315,0.123187250996016,0.0440197552072149,0.00195503421309873,0.000953389830508475,0.0708171206225681,0.0421052631578947
MRPS28,0.0221741481882098,0.0410958904109589,0.0452589641434263,0.0304917328752416,0.000977517106549365,0.0086864406779661,0.024124513618677,0
RP11-26J3.4,0,0,0.00185922974767596,0.00064419153961778,0,0.000529661016949153,0,0
TPD52,0.0210924824229313,0.0273972602739726,0.301938911022576,0.124328967146231,0.0361681329423265,0.141101694915254,0.185992217898833,0.0210526315789474
ZBTB10,0.0383991346673878,0.0273972602739726,0.0761221779548473,0.0444492162336268,0.00879765395894428,0.0171610169491525,0.0342412451361868,0.0315789473684211
ZNF704,0.11736073553272,0.164383561643836,0.573811420982736,0.47970796650204,0.00782013685239492,0.363559322033898,0.749416342412451,0.231578947368421
PAG1,0.103839913466739,0.315068493150685,0.286321381142098,0.163195190036504,0.324535679374389,0.069385593220339,0.252918287937743,0.168421052631579
FABP5,0.0724716062736614,0.0273972602739726,0.190278884462151,0.157397466179944,0.00391006842619746,0.0139830508474576,0.0863813229571984,0.0315789473684211
PMP2,0.201730665224446,0.0136986301369863,0.00541832669322709,0.00665664590938372,0.000977517106549365,0.0524364406779661,0.250583657587549,0.0105263157894737
FABP9,0,0,0.000956175298804781,0.00064419153961778,0,0.000105932203389831,0,0
FABP4,0,0,0.000212483399734396,0,0,0,0,0.0105263157894737
FABP12,0.00108166576527853,0,0.000637450199203187,0.000214730513205927,0,0,0,0
IMPA1,0.0373174689021092,0,0.154581673306773,0.0476701739317157,0.00782013685239492,0.0145127118644068,0.0194552529182879,0.0210526315789474
SLC10A5,0.00108166576527853,0,0.00579017264276228,0.0032209576980889,0,0,0,0
ZFAND1,0.0281233098972418,0.0821917808219178,0.171102257636122,0.0949108868370195,0.0195503421309873,0.0209745762711864,0.0443579766536965,0.0315789473684211
CHMP4C,0.00108166576527853,0,0.000531208499335989,0.000429461026411853,0,0.000105932203389831,0,0
SNX16,0.0243374797187669,0.0136986301369863,0.110225763612218,0.0528237062486579,0.00879765395894428,0.0189618644067797,0.0373540856031128,0.0105263157894737
RALYL,0.108707409410492,0.0273972602739726,7.87814077025232,1.13485076229332,0.0420332355816227,0.0454449152542373,0.668482490272373,0.136842105263158
LRRCC1,0.0232558139534884,0,0.0340504648074369,0.0390809534034786,0.00684261974584555,0.0167372881355932,0.0459143968871595,0
E2F5,0.0194699837750135,0.0136986301369863,0.0485524568393094,0.0219025123470045,0.00293255131964809,0.00709745762711864,0.0381322957198444,0.0105263157894737
C8orf59,0.0508382909680909,0.123287671232877,0.192563081009296,0.105862143010522,0.0449657869012708,0.0466101694915254,0.0980544747081712,0.0947368421052632
CA13,0.0297458085451595,0.0136986301369863,0.0965737051792829,0.0717199914107795,0.00293255131964809,0.00826271186440678,0.0700389105058366,0
CA1,0.0281233098972418,0,0.110119521912351,0.0719347219239854,0.00391006842619746,0.00656779661016949,0.0957198443579767,0
CA3,0.0362358031368307,0,0.151341301460823,0.11015675327464,0.00391006842619746,0.00921610169491525,0.0848249027237354,0.0105263157894737
CA2,0.0719307733910222,0.0684931506849315,0.0118459495351926,0.0835301696371054,0.00293255131964809,0.440783898305085,0.00700389105058366,0.168421052631579
ATP6V0D2,0.00324499729583559,0,0.00855245683930943,0.00601245436976594,0.000977517106549365,0.00995762711864407,0.00778210116731518,0
PSKH2,0,0,0.000424966799468791,0.000858922052823706,0.00195503421309873,0.000423728813559322,0,0
SLC7A13,0.00108166576527853,0,0.00818061088977424,0.00472407129053038,0.000977517106549365,0.000741525423728814,0.0046692607003891,0
WWP1,0.094104921579232,0.246575342465753,0.313041168658699,0.483787846252953,0.0811339198435973,0.148305084745763,0.196887159533074,0.168421052631579
RMDN1,0.127636560302866,0.0684931506849315,0.128924302788845,0.111015675327464,0.0537634408602151,0.0657838983050847,0.14863813229572,0.0736842105263158
CPNE3,0.109789075175771,0.0684931506849315,0.211527224435591,0.168563452866652,0.021505376344086,0.0581567796610169,0.157198443579767,0.0736842105263158
CNGB3,0.026500811249324,0.0273972602739726,0.078406374501992,0.032209576980889,0,0.00603813559322034,0.0147859922178988,0.0210526315789474
CNBD1,0.0151433207138994,0.0410958904109589,0.0344754316069057,0.023405625939446,0.00684261974584555,0.011228813559322,0.0256809338521401,0
DCAF4L2,0,0,0.000584329349269588,0,0,0,0.00233463035019455,0
MMP16,0.0356949702541915,0.0547945205479452,2.05471447543161,0.900579772385656,0.00586510263929619,0.0103813559322034,3.54708171206226,0.105263157894737
RIPK2,0.0362358031368307,0.0410958904109589,0.0852058432934927,0.0470259823920979,0.0469208211143695,0.0168432203389831,0.0552529182879377,0.0315789473684211
OSGIN2,0.047052460789616,0.0273972602739726,0.0973173970783533,0.0474554434185098,0.0117302052785924,0.00582627118644068,0.0178988326848249,0.0105263157894737
